192.168.56.1,/CulturarteWeb/,IE-11.0,Windows,18/11/2018 19:40:09
192.168.56.1,/CulturarteWeb/,Chrome-70.0.3538.102,Windows,18/11/2018 19:40:36
192.168.56.1,/CulturarteWeb/VerPerfil,Chrome-70.0.3538.102,Windows,18/11/2018 19:41:02
192.168.56.1,/CulturarteWeb/,IE-11.0,Windows,18/11/2018 19:54:10
192.168.56.1,/CulturarteWeb/,Chrome-70.0.3538.102,Windows,18/11/2018 19:54:32
192.168.56.1,/CulturarteWeb/SeguirUsuario,Chrome-70.0.3538.102,Windows,18/11/2018 19:54:45
192.168.56.1,/CulturarteWeb/VerPropuesta,Chrome-70.0.3538.102,Windows,18/11/2018 19:55:33
192.168.56.1,/CulturarteWeb/VerPropuesta,Chrome-70.0.3538.102,Windows,18/11/2018 19:55:44
192.168.56.1,/CulturarteWeb/VerPropuesta,Chrome-70.0.3538.102,Windows,18/11/2018 19:55:50
192.168.56.1,/CulturarteWeb/RegistrarColaboracion,Chrome-70.0.3538.102,Windows,18/11/2018 19:56:01
192.168.56.1,/CulturarteWeb/,IE-11.0,Windows,18/11/2018 20:07:27
192.168.56.1,/CulturarteWeb/,Chrome-70.0.3538.102,Android,18/11/2018 20:07:40
192.168.56.1,/CulturarteWeb/ExplorarUsuarios,Safari-11.0,Mac,18/11/2018 20:08:11
192.168.56.1,/CulturarteWeb/VerPerfil,Safari-11.0,Mac,18/11/2018 20:08:28
